DATE / RAOB	REPORT	MUMR	MUCAPE	500TEMP	7-5 LR	0-6SH	0-9SH	0-3SH	SHIP	MODELb	SRH
00061200.BIS	2.75	11.3	2000	-13.1	7.5	22.0	28.0	10.2	1.2	2.50	306
00061400.AMA	2.75	16.5	5758	-4.9	7.6	23.8	32.0	19.9	2.0	2.50	244
00062000.LBF	2.75	14.9	4028	-8.5	6.8	18.8	23.9	11.9	1.6	3.00	96
00071000.GGW	2.75	15.6	3180	-10.9	7.0	18.4	13.5	23.2	1.7	2.60	248
00071000.LBF	2.75	18.1	5871	-5.5	7.8	14.3	19.9	10.7	1.5	3.50	146
00071700.MHX	2.75	15.1	2929	-12.3	7.2	18.2	29.9	7.9	1.7	2.30	81
00072100.LBF	2.75	15.3	3073	-11.3	7.8	26.5	39.4	16.9	2.6	2.00	223
00072500.LBF	2.75	17.1	5901	-8.9	8.5	24.5	29.4	22.2	4.4	2.90	162
00072700.OAX	2.75	18.5	5048	-9.7	8.0	21.8	23.2	16.7	3.8	2.60	215
00121618.BMX	2.75	13.2	2219	-14.1	6.7	32.9	45.8	25.0	2.2	0.90	266
01040400.LZK	2.75	15.2	4223	-15.1	8.5	18.1	24.8	11.9	3.5	3.10	105
01042100.OAX	2.75	12.4	3283	-15.3	7.7	28.1	32.7	23.5	3.2	2.40	282
01050620.LMN	2.75	15.4	4496	-16.1	7.3	11.5	20.9	7.3	2.2	3.10	60
01052500.FFC	2.75	11.7	2338	-14.5	6.4	18.1	21.4	19.6	1.1	2.50	240
01060600.AMA	2.75	14.9	4665	-8.9	7.2	15.8	15.6	11.9	1.7	2.30	191
01060800.DNR	2.75	13.9	3440	-8.7	7.2	25.3	21.9	7.4	1.8	3.10	-26
01061000.ABR	2.75	13.8	3453	-12.1	7.8	24.6	32.3	16.6	2.6	3.60	158
01061400.OAX	2.75	17.2	4956	-11.3	9.0	20.4	25.5	18.5	4.2	3.80	153
01061700.LMN	2.75	14.1	4093	-10.7	8.0	19.4	26.9	9.3	2.3	3.50	195
01061700.TOP	2.75	15.7	4594	-13.7	8.5	22.1	26.6	15.7	4.4	3.40	214
01061900.MPX	2.75	15.6	5114	-11.9	9.2	33.1	31.9	19.0	6.9	3.40	154
01070100.RAP	2.75	14.3	3235	-10.7	7.7	30.8	40.7	12.9	2.8	2.60	114
01071800.INL	2.75	17.0	4580	-12.9	7.8	11.9	12.8	11.8	2.2	0.80	154
01071900.ABR	2.75	17.5	5356	-10.5	8.8	18.1	22.7	3.4	3.7	2.70	35
01071900.BIS	2.75	17.8	5738	-9.9	8.6	21.8	28.8	14.1	4.5	2.90	183
01072500.GGW	2.75	11.5	1714	-11.3	6.9	26.7	32.1	18.2	1.0	2.20	350
01112418.BMX	2.75	15.1	2902	-11.3	6.1	26.9	31.9	22.2	1.9	0.80	328
02051800.DRT	2.75	16.0	5077	-10.5	8.1	8.8	6.3	5.2	1.5	2.60	15
02052400.AMA	2.75	13.8	4729	-13.3	8.3	28.8	21.8	18.5	4.9	2.30	258
02060500.AMA	2.75	13.2	2947	-11.5	7.6	32.1	45.0	17.9	2.6	2.70	309
02061300.AMA	2.75	13.7	3027	-8.5	8.4	29.6	33.0	18.7	2.1	2.50	65
02062400.BIS	2.75	16.0	3559	-9.7	6.8	28.0	24.8	25.2	2.5	2.40	298
