STJ 39.770  -94.920 SAINT JOSEPH MISSOURI
FLV 39.360  -94.920 LEAVENWORTH KANSAS
BJI 47.520  -94.930 BEMIDJI MINNESOTA
RWF 44.550  -95.080 REDWOOD FALLS MINNESOTA
SPW 43.170  -95.150 SPENCER IOWA
HOU 29.650  -95.280 HOUSTON TEXAS
RRT 48.930  -95.350 WARROAD MINNESOTA
MKO 35.670  -95.370 MUSKOGEE OKLAHOMA
AXN 45.870  -95.400 ALEXANDRIA MINNESOTA
TYR 32.350  -95.400 TYLER TEXAS
PRX 33.630  -95.450 PARIS TEXAS
CNU 37.670  -95.480 CHANUTE KANSAS
OTG 43.650  -95.580 WORTHINGTON MINNESOTA
FNB 40.070  -95.600 FALLS CITY NEBRASKA
TOP 39.070  -95.620 TOPEKA KANSAS
MLC 34.880  -95.780 MCALESTER OKLAHOMA
TUL 36.200  -95.880 TULSA OKLAHOMA
OMA 41.300  -95.900 OMAHA NEBRASKA
BVO 36.770  -96.020 BARTLESVILLE OKLAHOMA
TVF 48.070  -96.180 THIEF RIVER FALLS MINNESOTA
EMP 38.330  -96.180 EMPORIA KANSAS
PSX 28.730  -96.250 PALACIOS TEXAS
CLL 30.580  -96.370 COLLEGE STATION TEXAS
SUX 42.400  -96.380 SIOUX CITY IOWA
DUA 33.950  -96.400 DURANT OKLAHOMA
MHK 39.130  -96.670 MANHATTAN KANSAS
FSD 43.580  -96.730 SIOUX FALLS SOUTH DAKOTA
BIE 40.290  -96.750 BEATRICE NEBRASKA
LNK 40.850  -96.770 LINCOLN NEBRASKA
FAR 46.920  -96.820 FARGO NORTH DAKOTA
BKX 44.300  -96.820 BROOKINGS SOUTH DAKOTA
DAL 32.850  -96.850 DALLAS TEXAS
VCT 28.850  -96.920 VICTORIA TEXAS
ADM 34.290  -97.020 ARDMORE OKLAHOMA
PNC 36.720  -97.100 PONCA CITY OKLAHOMA
ATY 44.920  -97.150 WATERTOWN SOUTH DAKOTA
GFK 47.950  -97.180 GRAND FORKS NORTH DAKOTA
ACT 31.620  -97.230 WACO TEXAS
OLU 41.450  -97.350 COLUMBUS NEBRASKA
FTW 32.820  -97.370 FORT WORTH TEXAS
YKN 42.920  -97.380 YANKTON SOUTH DAKOTA
TPL 31.150  -97.420 TEMPLE TEXAS
BRO 25.920  -97.420 BROWNSVILLE TEXAS
OFK 41.980  -97.430 NORFOLK NEBRASKA
ICT 37.650  -97.430 WICHITA KANSAS
CRP 27.770  -97.500 CORPUS CHRISTI TEXAS
OKC 35.400  -97.600 OKLAHOMA CITY OKLAHOMA
CNK 39.540  -97.650 CONCORDIA KANSAS
SLN 38.790  -97.650 SALINA KANSAS
NIR 28.370  -97.670 BEEVILLE TEXAS
AUS 30.300  -97.700 AUSTIN TEXAS
HUT 38.070  -97.870 HUTCHINSON KANSAS
END 36.350  -97.920 ENID OKLAHOMA
MHE 43.770  -98.030 MITCHELL SOUTH DAKOTA
ALI 27.730  -98.030 ALICE TEXAS
MWL 32.780  -98.070 MINERAL WELLS TEXAS
SEP 32.220  -98.180 STEPHENVILLE TEXAS
HON 44.380  -98.230 HURON SOUTH DAKOTA
MFE 26.180  -98.230 MCALLEN TEXAS
GRI 40.970  -98.320 GRAND ISLAND NEBRASKA
FSI 34.650  -98.400 FORT SILL OKLAHOMA
ABR 45.450  -98.420 ABERDEEN SOUTH DAKOTA
HSI 40.600  -98.430 HASTINGS NEBRASKA
SAT 29.530  -98.470 SAN ANTONIO TEXAS
SPS 33.970  -98.500 WICHITA FALLS TEXAS
P28 37.290  -98.580 MEDICINE LODGE KANSAS
JMS 46.930  -98.680 JAMESTOWN NORTH DAKOTA
RSL 38.860  -98.820 RUSSELL KANSAS
DVL 48.120  -98.920 DEVILS LAKE NORTH DAKOTA
BWD 31.800  -98.950 BROWNWOOD TEXAS
EAR 40.720  -99.000 KEARNEY NEBRASKA
BUB 41.780  -99.150 BURWELL NEBRASKA
HDO 29.350  -99.180 HONDO TEXAS
CSM 35.330  -99.200 CLINTON OKLAHOMA
COT 28.450  -99.220 COTULLA TEXAS
LTS 34.650  -99.270 ALTUS OKLAHOMA
9V9 43.770  -99.320 CHAMBERLAIN SOUTH DAKOTA
LRD 27.550  -99.470 LAREDO TEXAS
BBW 41.430  -99.630 BROKEN BOW NEBRASKA
ABI 32.420  -99.680 ABILENE TEXAS
GAG 36.290  -99.770 GAGE OKLAHOMA
JCT 30.520  -99.770 JUNCTION TEXAS
HLC 39.380  -99.830 HILL CITY KANSAS
DDC 37.770  -99.970 DODGE CITY KANSAS
ANW 42.580  -99.980 AINSWORTH NEBRASKA
PIR 44.380 -100.280 PIERRE SOUTH DAKOTA
CDS 34.430 -100.280 CHILDRESS TEXAS
MBG 45.530 -100.430 MOBRIDGE SOUTH DAKOTA
SJT 31.370 -100.500 SAN ANGELO TEXAS
VTN 42.850 -100.550 VALENTINE NEBRASKA
MCK 40.200 -100.580 MCCOOK NEBRASKA
LBF 41.130 -100.680 NORTH PLATTE NEBRASKA
GCK 37.930 -100.720 GARDEN CITY KANSAS
BIS 46.780 -100.750 BISMARCK NORTH DAKOTA
DRT 29.370 -100.920 DEL RIO TEXAS
LBL 37.040 -100.970 LIBERAL KANSAS
MHN 42.050 -101.070 MULLEN NEBRASKA
MOT 48.270 -101.280 MINOT NORTH DAKOTA
BGS 32.220 -101.500 BIG SPRING TEXAS
PHP 44.050 -101.600 PHILIP SOUTH DAKOTA
IML 40.520 -101.620 IMPERIAL NEBRASKA
GLD 39.360 -101.700 GOODLAND KANSAS
AMA 35.220 -101.720 AMARILLO TEXAS
PVW 34.170 -101.720 PLAINVIEW TEXAS
LBB 33.670 -101.820 LUBBOCK TEXAS
EHA 37.000 -101.900 ELKHART KANSAS
Y22 45.930 -102.170 LEMMON SOUTH DAKOTA
MAF 31.950 -102.200 MIDLAND TEXAS
DHT 36.020 -102.550 DALHART TEXAS
LAA 38.070 -102.680 LAMAR COLORADO
DIK 46.800 -102.800 DICKINSON NORTH DAKOTA
AIA 42.050 -102.800 ALLIANCE NEBRASKA
FST 30.920 -102.920 FORT STOCKTON TEXAS
SNY 41.100 -102.980 SIDNEY NEBRASKA
RAP 44.050 -103.050 RAPID CITY SOUTH DAKOTA
CDR 42.830 -103.100 CHADRON NEBRASKA
CAO 36.450 -103.150 CLAYTON NEW MEXICO
INK 31.780 -103.200 WINK TEXAS
AKO 40.180 -103.220 AKRON COLORADO
HOB 32.680 -103.220 HOBBS NEW MEXICO
CVS 34.380 -103.320 CANNON AFB NEW MEXICO
LHX 38.040 -103.520 LA JUNTA COLORADO
BFF 41.880 -103.600 SCOTTSBLUFF NEBRASKA
TCC 35.180 -103.600 TUCUMCARI NEW MEXICO
ISN 48.180 -103.630 WILLISTON NORTH DAKOTA
LIC 39.270 -103.670 LIMON COLORADO
MRF 30.370 -104.020 MARFA TEXAS
SDY 47.700 -104.200 SIDNEY MONTANA
CNM 32.330 -104.270 CARLSBAD NEW MEXICO
TAD 37.270 -104.330 TRINIDAD COLORADO
PUB 38.280 -104.500 PUEBLO COLORADO
RTN 36.720 -104.500 RATON NEW MEXICO
ROW 33.290 -104.530 ROSWELL NEW MEXICO
COS 38.820 -104.720 COLORADO SPRINGS COLORADO
GDV 47.130 -104.800 GLENDIVE MONTANA
GDP 31.830 -104.800 GUADALUPE PASS TEXAS
81V 44.350 -104.820 MOORCROFT WYOMING
CYS 41.150 -104.820 CHEYENNE WYOMING
DEN 39.770 -104.880 DENVER COLORADO
FCL 40.450 -105.020 FORT COLLINS COLORADO
LVS 35.650 -105.150 LAS VEGAS NEW MEXICO
DGW 42.750 -105.370 DOUGLAS WYOMING
4BQ 45.430 -105.400 BROADUS MONTANA
GCC 44.350 -105.530 GILLETTE WYOMING
OLF 48.100 -105.580 WOLF POINT MONTANA
LAR 41.320 -105.670 LARAMIE WYOMING
4CR 34.100 -105.680 CORONA NEW MEXICO
4FC 39.950 -105.820 FRASER COLORADO
ALS 37.430 -105.870 ALAMOSA COLORADO
MLS 46.430 -105.880 MILES CITY MONTANA
SAF 35.610 -106.080 SANTA FE NEW MEXICO
ALM 32.850 -106.100 ALAMOGORDO NEW MEXICO
ELP 31.800 -106.380 EL PASO TEXAS
CPR 42.900 -106.470 CASPER WYOMING
ABQ 35.040 -106.600 ALBUQUERQUE NEW MEXICO
GGW 48.220 -106.620 GLASGOW MONTANA
ASE 39.220 -106.870 ASPEN COLORADO
ONM 34.020 -106.900 SOCORRO NEW MEXICO
EGE 39.650 -106.920 EAGLE COLORADO
GUC 38.530 -106.930 GUNNISON COLORADO
4SL 36.020 -106.950 CUBA NEW MEXICO
SHR 44.770 -106.980 SHERIDAN WYOMING
RWL 41.800 -107.200 RAWLINS WYOMING
TCS 33.220 -107.270 TRUTH OR CONSEQUENCES NEW MEXICO
CAG 40.500 -107.520 CRAIG COLORADO
DMN 32.250 -107.720 DEMING NEW MEXICO
DRO 37.150 -107.750 DURANGO COLORADO
MTJ 38.500 -107.900 MONTROSE COLORADO
GNT 35.170 -107.900 GRANTS NEW MEXICO
WRL 43.970 -107.970 WORLAND WYOMING
SVC 32.630 -108.150 SILVER CITY NEW MEXICO
FMN 36.750 -108.230 FARMINGTON NEW MEXICO
RIW 43.070 -108.450 RIVERTON WYOMING
BIL 45.800 -108.530 BILLINGS MONTANA
GJT 39.110 -108.530 GRAND JUNCTION COLORADO
CEZ 37.290 -108.630 CORTEZ COLORADO
LND 42.820 -108.730 LANDER WYOMING
GUP 35.520 -108.780 GALLUP NEW MEXICO
COD 44.520 -109.020 CODY WYOMING
RKS 41.600 -109.070 ROCK SPRINGS WYOMING
LWT 47.050 -109.470 LEWISTOWN MONTANA
4BL 37.580 -109.480 BLANDING UTAH
VEL 40.430 -109.520 VERNAL UTAH
DUG 31.470 -109.600 DOUGLAS ARIZONA
SAD 32.850 -109.630 SAFFORD ARIZONA
CNY 38.770 -109.750 MOAB UTAH
HVR 48.550 -109.770 HAVRE MONTANA
3HT 46.430 -109.830 HARLOWTON MONTANA
