#*******************************************************************************
# File : MnemonicDescriptorMapping.txt
# 
# Purpose : These entries map MOS models and associated BUFR descriptors to the
# index within the BUFRDataDocument list. Further, the data item is mapped to
# to a specific Mnemonic that is used to retrieve the data.
#  
#  Date         Ticket#    Engineer    Description
#  ------------ ---------- ----------- --------------------------
#  20080226            861 jkorman     Initial Development
#  20111026          11393 jkorman     Updated AVN mapping
#  20160209           5283 nabowle     Remove NGM support.
#  @author jkorman
#
#*******************************************************************************
#Model|Descrip | Index|Mnemonic         
#---------------------------------------
  GFS|0 60 012|    53|QPF24hr_cat3     
  GFS|0 60 015|    54|QPF24hr_cat4     
  GFS|0 60 017|    55|QPF24hr_cat7     
  GFS|0 60 090|    57|QPF24hr_bestCat  
  GFS|0 60 144|    58|snow24hr_cat1    
  GFS|0 60 031|    59|snow24hr_cat2    
  GFS|0 60 033|    60|snow24hr_cat4    
  GFS|0 60 035|    61|snow24hr_cat6    
  GFS|0 60 145|    62|snow24hr_cat8    
  GFS|0 60 093|    64|snow24hr_bestCat 
  GFS|0 60 100|    65|clouds_CL        
  GFS|0 60 108|    66|clouds_FW        
  GFS|0 60 109|    67|clouds_SC        
  GFS|0 60 103|    68|clouds_BK        
  GFS|0 60 104|    69|clouds_OV        
  GFS|0 20 011|    70|clouds_bestCat   
  GFS|0 60 042|    71|ceiling_cat1     
  GFS|0 60 043|    72|ceiling_cat2     
  GFS|0 60 044|    73|ceiling_cat3     
  GFS|0 60 080|    74|ceiling_cat4     
  GFS|0 60 081|    75|ceiling_cat5     
  GFS|0 60 046|    76|ceiling_cat6     
  GFS|0 60 047|    77|ceiling_cat7     
  GFS|0 60 048|    78|ceiling_cat8     
  GFS|0 60 094|    79|ceiling_bestCat  
  GFS|0 60 049|    80|vis_cat1         
  GFS|0 60 112|    81|vis_cat2         
  GFS|0 60 118|    82|vis_cat3         
  GFS|0 60 113|    83|vis_cat4         
  GFS|0 60 114|    84|vis_cat5         
  GFS|0 60 115|    85|vis_cat6         
  GFS|0 60 190|    86|vis_bestCat      
  GFS|0 60 057|    87|obVis_cat4       
  GFS|0 60 055|    88|obVis_cat2       
  GFS|0 60 116|    89|obVis_cat5       
  GFS|0 60 117|    90|obVis_cat3       
  GFS|0 60 054|    91|obVis_cat1       
  GFS|0 60 096|    92|obVis_bestCat    
  GFS|0 60 023|    93|POP_drizzle      
  GFS|0 60 024|    94|POP_rain         
  GFS|0 60 025|    95|POP_showers      
  GFS|0 60 092|    96|POP_bestCat      
  GFS|0 60 148|    97|POP_hour         
  GFS|0 60 149|    98|POP_3hour        
#---------------------------------------
#Model|Descrip | Index|Mnemonic         
#---------------------------------------
  HPC|0 60 066|     9|maxTempClim       
  HPC|0 60 067|    10|minTempClim      
  HPC|0 60 019|    11|relFreqPrecip    
  HPC|0 60 003|    14|POP24hr          
  HPC|0 12 200|    15|maxTemp24Hour    
  HPC|0 12 201|    16|minTemp24Hour    
#---------------------------------------
#Model|Descrip | Index|Mnemonic         
#---------------------------------------
 LAMP|0 12 104|    11|temperature      
 LAMP|0 12 106|    12|dewpoint         
 LAMP|0 11 001|    13|windDir          
 LAMP|0 11 200|    14|windSpeedInflated
 LAMP|0 11 041|    15|MaxWindSpeed     
 LAMP|0 11 003|    16|uwind            
 LAMP|0 11 004|    17|vwind            
 LAMP|0 60 001|    18|PQPF_6hr         
 LAMP|0 60 002|    19|PQPF_12hr        
 LAMP|0 60 079|    20|ltg2hr
 LAMP|0 60 197|    21|ltg_bestCat
 LAMP|0 60 078|    22|cnvstorm2hr
 LAMP|0 60 196|    23|cnvstorm_bestCat
 LAMP|0 60 097|    24|tstorm_bestCat   
 LAMP|0 60 020|    25|precipFreezing   
 LAMP|0 60 021|    26|precipSnow       
 LAMP|0 60 022|    27|precipRain       
 LAMP|0 60 091|    28|precipType       
 LAMP|0 60 100|    29|clouds_CL        
 LAMP|0 60 108|    30|clouds_FW        
 LAMP|0 60 109|    31|clouds_SC        
 LAMP|0 60 103|    32|clouds_BK        
 LAMP|0 60 104|    33|clouds_OV        
 LAMP|0 20 011|    34|clouds_bestCat   
 LAMP|0 60 042|    35|ceiling_cat1     
 LAMP|0 60 043|    36|ceiling_cat2     
 LAMP|0 60 044|    37|ceiling_cat3     
 LAMP|0 60 080|    38|ceiling_cat4     
 LAMP|0 60 081|    39|ceiling_cat5     
 LAMP|0 60 046|    40|ceiling_cat6     
 LAMP|0 60 047|    41|ceiling_cat7     
 LAMP|0 60 048|    42|ceiling_cat8     
 LAMP|0 60 094|    43|ceiling_bestCat  
 LAMP|0 60 082|    44|c_ceiling_cat1   
 LAMP|0 60 083|    45|c_ceiling_cat2   
 LAMP|0 60 084|    46|c_ceiling_cat3   
 LAMP|0 60 085|    47|c_ceiling_cat4   
 LAMP|0 60 086|    48|c_ceiling_cat5   
 LAMP|0 60 087|    49|c_ceiling_cat6   
 LAMP|0 60 088|    50|c_ceiling_cat7   
 LAMP|0 60 089|    51|c_ceiling_cat8   
 LAMP|0 60 194|    52|c_ceiling_bestCat
 LAMP|0 60 049|    53|vis_cat1         
 LAMP|0 60 112|    54|vis_cat2         
 LAMP|0 60 118|    55|vis_cat3         
 LAMP|0 60 113|    56|vis_cat4         
 LAMP|0 60 114|    57|vis_cat5         
 LAMP|0 60 115|    58|vis_cat6         
 LAMP|0 60 190|    59|vis_bestCat      
 LAMP|0 60 200|    60|cvis_cat1        
 LAMP|0 60 201|    61|cvis_cat2        
 LAMP|0 60 202|    62|cvis_cat3        
 LAMP|0 60 203|    63|cvis_cat4        
 LAMP|0 60 204|    64|cvis_cat5        
 LAMP|0 60 205|    65|cvis_cat6        
 LAMP|0 60 193|    66|cvis_bestCat     
 LAMP|0 60 057|    67|obVis_cat4       
 LAMP|0 60 055|    68|obVis_cat2       
 LAMP|0 60 116|    69|obVis_cat5       
 LAMP|0 60 117|    70|obVis_cat3       
 LAMP|0 60 054|    71|obVis_cat1       
 LAMP|0 60 096|    72|obVis_bestCat    
 LAMP|0 60 025|    73|POP_showers      
 LAMP|0 60 023|    74|POP_drizzle      
 LAMP|0 60 024|    75|POP_rain         
 LAMP|0 60 092|    76|POP_bestCat      
 LAMP|0 60 148|    77|POP_hour         
 LAMP|0 60 195|    78|POP_hour_bestCat 
#---------------------------------------
#Model|Descrip | Index|Mnemonic         
#---------------------------------------
  MRF|0 12 021|    12|maxTempDay       
  MRF|0 12 022|    14|minTempNight     
  MRF|0 12 104|    16|MRF_temp         
  MRF|0 12 106|    17|MRF_dewpoint     
  MRF|0 60 105|    18|skyCover_CL      
  MRF|0 60 106|    19|skyCover_PC      
  MRF|0 60 107|    20|skyCover_MC      
  MRF|0 60 192|    22|totalSkyCover    
  MRF|0 60 002|    23|POP12hr          
  MRF|0 60 003|    24|POP24hr          
  MRF|0 60 140|    25|precipFreezing   
  MRF|0 60 141|    26|precipSnow       
  MRF|0 60 142|    27|precipMix        
  MRF|0 60 143|    28|precipRain       
  MRF|0 60 091|    30|precipType       
  MRF|0 60 005|    31|QPF12hr_cat5     
  MRF|0 60 008|    32|QPF12hr_cat4     
  MRF|0 60 011|    33|QPF12hr_cat3     
  MRF|0 60 014|    34|QPF12hr_cat2     
  MRF|0 60 016|    35|QPF12hr_cat1     
  MRF|0 60 090|    37|QPF12hr_bestCat  
  MRF|0 60 006|    38|QPF24hr_cat6     
  MRF|0 60 009|    39|QPF24hr_cat5     
  MRF|0 60 012|    40|QPF24hr_cat4     
  MRF|0 60 015|    41|QPF24hr_cat3     
  MRF|0 60 017|    42|QPF24hr_cat2     
  MRF|0 60 146|    43|QPF24hr_cat1     
  MRF|0 60 090|    45|QPF24hr_bestCat  
  MRF|0 60 059|    46|tstorm12hr       
  MRF|0 60 060|    47|tstorm24hr       
